Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
Oxon-JHU,0.4053,UEdin-JHU,0.3669,CMU-MON,0.4078,MON-UCam,0.5388,UCam-CMU,0.4643,HKU-MON,0.3977,UCam-JHU,0.8043,CMU-EPFL,0.8367
UCam-MON,0.3958,HKU-JHU,0.3669,Georgia Tech-UCam,0.4075,CMU-MON,0.5252,Georgia Tech-UEdin,0.4622,HKU-UCam,0.3898,Oxon-Georgia Tech,0.8038,UEdin-MON,0.8348
UCam-JHU,0.3947,Georgia Tech-UCam,0.364,HKU-UEdin,0.3943,EPFL-CMU,0.5211,UEdin-Georgia Tech,0.4423,HKU-UEdin,0.3804,CMU-UCam,0.8038,UCam-HKU,0.8339
Oxon-HKU,0.3934,UCL-JHU,0.3633,Oxon-MON,0.3931,UEdin-CMU,0.5159,CMU-Oxon,0.4376,UCam-JHU,0.3777,UEdin-MON,0.8035,HKU-UCam,0.8338
CMU-EPFL,0.3868,UEdin-EPFL,0.356,UCam-HKU,0.3909,CMU-UCam,0.5059,UCL-Oxon,0.422,UEdin-Georgia Tech,0.3679,Oxon-UCL,0.7952,UEdin-JHU,0.8315
Oxon-UIUC,0.3838,UEdin-Georgia Tech,0.354,Oxon-HKU,0.3882,UCam-Georgia Tech,0.4981,UCam-EPFL,0.4209,UCam-UCL,0.3514,Oxon-EPFL,0.7952,UEdin-HKU,0.8305
Oxon-UCL,0.3697,UCam-UIUC,0.3175,HKU-UCam,0.3868,UEdin-UCam,0.4949,UEdin-MON,0.404,UCam-UIUC,0.3494,HKU-UCam,0.7941,CMU-UCam,0.8236
UCam-UIUC,0.3686,UEdin-MON,0.3154,UCam-CMU,0.3856,CMU-Oxon,0.488,UEdin-UCam,0.3955,UEdin-HKU,0.3468,MON-JHU,0.7899,UCam-MON,0.823
UEdin-UIUC,0.3674,UEdin-HKU,0.3141,UEdin-HKU,0.3781,UCam-EPFL,0.4683,UCam-MON,0.3949,UEdin-Oxon,0.3308,UEdin-UCam,0.7888,UCam-CMU,0.8222
UCam-CMU,0.3435,CMU-Oxon,0.3092,UCam-MON,0.3714,Oxon-Georgia Tech,0.4487,Oxon-Georgia Tech,0.3892,UEdin-CMU,0.3297,UCam-Georgia Tech,0.7874,UCam-UCL,0.8216
Oxon-Georgia Tech,0.3381,Oxon-Georgia Tech,0.3081,HKU-JHU,0.3705,UCam-CMU,0.4483,UCam-JHU,0.3885,Oxon-Georgia Tech,0.3243,JHU-CMU,0.7863,CMU-Oxon,0.8179
Oxon-CMU,0.3367,UEdin-UCam,0.2979,UEdin-Oxon,0.3542,UCam-HKU,0.447,UCam-HKU,0.3799,Oxon-HKU,0.3174,Oxon-HKU,0.786,Oxon-Georgia Tech,0.8176
UCam-UCL,0.3189,Oxon-HKU,0.296,UEdin-MON,0.338,UCam-JHU,0.4404,UEdin-CMU,0.3741,CMU-Oxon,0.317,Oxon-UCam,0.776,UCam-UIUC,0.8155
UEdin-CMU,0.3169,UEdin-Oxon,0.2925,UCam-UIUC,0.3344,Oxon-MON,0.4216,Oxon-MON,0.373,UEdin-UCam,0.317,UCam-UCL,0.7741,Oxon-HKU,0.8142
UEdin-MON,0.3108,Oxon-MON,0.2879,UEdin-CMU,0.329,Oxon-HKU,0.4209,Oxon-CMU,0.3522,UEdin-JHU,0.3154,Oxon-UIUC,0.7706,UEdin-Oxon,0.8123
UEdin-JHU,0.3073,UCam-MON,0.2851,UCam-UCL,0.3285,Oxon-CMU,0.411,UEdin-Oxon,0.3519,Oxon-MON,0.3141,EPFL-CMU,0.7684,Oxon-MON,0.8115
UEdin-UCL,0.3072,Oxon-CMU,0.2765,Oxon-UCL,0.3249,Oxon-UCL,0.4051,UCam-UCL,0.345,CMU-MON,0.3126,MON-UCam,0.7657,UCam-Oxon,0.8069
Oxon-UEdin,0.3039,UCam-JHU,0.2627,Oxon-UIUC,0.319,Oxon-JHU,0.4048,Oxon-HKU,0.3392,UCam-UEdin,0.2921,Oxon-UEdin,0.765,Oxon-UCL,0.8022
Oxon-EPFL,0.2983,Oxon-UCL,0.2609,Oxon-EPFL,0.3164,Oxon-EPFL,0.3956,UCam-UIUC,0.3378,UCam-Oxon,0.2907,UCam-HKU,0.7596,UEdin-CMU,0.7997
UEdin-Georgia Tech,0.2967,UCam-UCL,0.2467,UEdin-UCam,0.3032,Oxon-UIUC,0.3879,UCam-Oxon,0.2929,Oxon-EPFL,0.2716,Oxon-MON,0.7519,Oxon-JHU,0.7957
UEdin-EPFL,0.2944,UCam-UEdin,0.2447,UCam-JHU,0.2975,Oxon-UCam,0.3825,Oxon-UCam,0.2706,Oxon-UCL,0.2525,UEdin-CMU,0.7514,UEdin-UCam,0.7956
UCam-Oxon,0.287,Oxon-UIUC,0.2423,Oxon-CMU,0.2908,UCam-UCL,0.3781,UCam-UEdin,0.2648,Oxon-UIUC,0.2368,Oxon-CMU,0.7499,Oxon-EPFL,0.7918
UCam-UEdin,0.2789,Oxon-EPFL,0.2304,Oxon-UEdin,0.2854,UCam-MON,0.3772,Oxon-UIUC,0.2633,UEdin-MON,0.2295,UCam-Oxon,0.7434,UCam-UEdin,0.7912
Oxon-UCam,0.2719,UCam-Oxon,0.1922,UCam-Oxon,0.2845,UCam-UIUC,0.3655,Oxon-JHU,0.2626,Oxon-CMU,0.2151,UCam-UEdin,0.7253,Oxon-CMU,0.788
UEdin-HKU,0.2672,Oxon-JHU,0.1888,Oxon-JHU,0.2609,UCam-Oxon,0.3598,Oxon-UCL,0.2607,Oxon-UEdin,0.2062,UCam-UIUC,0.7236,Oxon-UIUC,0.7879
UEdin-Oxon,0.2394,Oxon-UEdin,0.185,UCam-UEdin,0.2496,Oxon-UEdin,0.3564,Oxon-EPFL,0.2582,Oxon-UCam,0.1919,UCam-MON,0.7063,Oxon-UCam,0.7809
UEdin-UCam,0.2284,Oxon-UCam,0.1752,Oxon-UCam,0.2441,UCam-UEdin,0.3248,Oxon-UEdin,0.2481,Oxon-JHU,0.1874,UCam-CMU,0.6973,Oxon-UEdin,0.7745
