Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UCL-UWaterloo,0.4401,MON-UCam,0.4057,ICL-CMU,0.4312,UCL-MON,0.5759,UCam-MON,0.5112,JHU-CMU,0.4582,UCL-UEdin,0.8161,UCam-JHU,0.8385
UEdin-ICL,0.4391,MON-UCL,0.4038,UCam-UCL,0.4240,MON-UCam,0.5749,ICL-UCL,0.4951,CMU-MON,0.4579,UEdin-UCam,0.8141,UCam-UEdin,0.8369
CMU-UCL,0.4364,MON-UWaterloo,0.4017,UWaterloo-UCL,0.4147,UCL-UWaterloo,0.5696,UCam-UWaterloo,0.4950,UCam-UCL,0.4575,UWaterloo-UCL,0.8137,ICL-CMU,0.8357
UIUC-UCL,0.4337,MON-ICL,0.4011,UCam-ICL,0.4143,UWaterloo-UCL,0.5695,UCL-UEdin,0.4940,UCam-UEdin,0.4542,HKU-UCL,0.8052,UCL-HKU,0.8328
UWaterloo-UCL,0.4333,UCam-JHU,0.3887,UCL-UCam,0.4094,UCam-UWaterloo,0.5678,UWaterloo-UCL,0.4888,CMU-ICL,0.4474,CMU-UCam,0.8033,UCam-ICL,0.8326
UCam-UWaterloo,0.4276,UCam-ICL,0.3850,UCL-UWaterloo,0.4056,UCL-CMU,0.5646,UCL-UIUC,0.4677,UCam-JHU,0.4450,UCL-UWaterloo,0.8001,UCam-MON,0.8321
UCL-ICL,0.4111,UCL-JHU,0.3835,UCam-HKU,0.4007,UCam-JHU,0.5625,UCL-UCam,0.4671,UCL-CMU,0.4431,UCL-ICL,0.7978,UCam-CMU,0.8299
UCam-ICL,0.4109,UCam-UWaterloo,0.3817,UCL-CMU,0.3952,CMU-UCam,0.5611,UCL-MON,0.4616,UCL-ICL,0.4417,UCL-MON,0.7953,UCam-UWaterloo,0.8268
ICL-UWaterloo,0.4032,UCL-CMU,0.3807,UCam-UWaterloo,0.3925,UCL-ICL,0.5581,UCL-UWaterloo,0.4422,ICL-CMU,0.4305,CMU-UCL,0.7944,UCL-UWaterloo,0.8253
ICL-UCL,0.3931,MON-CMU,0.3737,UCL-UIUC,0.3811,JHU-UCam,0.5570,UCL-HKU,0.4394,UCam-MON,0.4260,UCL-CMU,0.7858,UWaterloo-UCL,0.8245
CMU-ICL,0.3890,UCL-UWaterloo,0.3733,UCL-ICL,0.3616,CMU-UCL,0.5564,UCL-ICL,0.4294,UCam-CMU,0.4204,UCL-UIUC,0.7844,UCL-JHU,0.8223
ICL-UCam,0.3879,UWaterloo-UCL,0.3503,UCL-JHU,0.3557,UCam-MON,0.5541,UCL-CMU,0.4189,UCam-UWaterloo,0.4055,UCL-JHU,0.7756,UCL-CMU,0.8173
ICL-CMU,0.3820,UCL-ICL,0.3494,UCL-HKU,0.3500,UCL-JHU,0.5060,UCL-JHU,0.3630,UCam-ICL,0.3980,UCL-HKU,0.7661,UCL-ICL,0.8163
