Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
YU-HKU,0.4141,UIUC-U of T,0.4126,HU-Oxon,0.4787,Oxon-Georgia Tech,0.6322,MIT-EPFL,0.5156,MIT-EPFL,0.4459,EPFL-HU,0.8413,UCL-UIUC,0.8529
HU-YU,0.4131,Georgia Tech-U of T,0.4120,Oxon-UWaterloo,0.4766,UCam-U of T,0.6318,UCam-UIUC,0.5140,UIUC-EPFL,0.4457,HU-UWaterloo,0.8413,Georgia Tech-HU,0.8528
UWaterloo-MIT,0.4117,HU-CMU,0.4113,EPFL-UIUC,0.4756,EPFL-UCam,0.6312,Oxon-YU,0.5112,UIUC-HU,0.4428,MIT-Georgia Tech,0.8413,UIUC-NTU,0.8527
HU-UWaterloo,0.4114,NTU-YU,0.4073,HU-CMU,0.4747,EPFL-NTU,0.6286,UIUC-U of T,0.5064,UCL-EPFL,0.4423,YU-UCL,0.8413,Georgia Tech-U of T,0.8526
EPFL-UIUC,0.4107,CMU-UIUC,0.4015,CMU-Georgia Tech,0.4740,UIUC-HKU,0.6285,EPFL-NTU,0.5059,Oxon-UWaterloo,0.4418,UCam-HKU,0.8411,CMU-UWaterloo,0.8520
EPFL-U of T,0.4106,HU-NTU,0.4010,EPFL-NTU,0.4724,NTU-Oxon,0.6276,MIT-UCL,0.5032,Oxon-Georgia Tech,0.4407,Georgia Tech-UIUC,0.8400,HU-CMU,0.8518
UCam-NTU,0.4106,UIUC-HU,0.4008,UIUC-HU,0.4701,Georgia Tech-Oxon,0.6276,HKU-UWaterloo,0.5026,UCam-CMU,0.4374,HU-UIUC,0.8399,MIT-CMU,0.8517
NTU-UCL,0.4099,HU-EPFL,0.4007,UIUC-CMU,0.4699,UWaterloo-NTU,0.6274,CMU-Oxon,0.5020,Georgia Tech-U of T,0.4372,UCL-UIUC,0.8399,CMU-Oxon,0.8514
NTU-EPFL,0.4084,HU-UIUC,0.4000,UCL-EPFL,0.4680,UIUC-Georgia Tech,0.6255,UWaterloo-NTU,0.5010,EPFL-UIUC,0.4371,UIUC-U of T,0.8395,Georgia Tech-MIT,0.8513
CMU-MIT,0.4071,EPFL-UWaterloo,0.3965,CMU-NTU,0.4676,HU-Georgia Tech,0.6251,UCL-EPFL,0.4993,MIT-UCam,0.4341,Oxon-HU,0.8383,HKU-YU,0.8513
HKU-UWaterloo,0.4067,U of T-Georgia Tech,0.3964,EPFL-Georgia Tech,0.4664,Georgia Tech-YU,0.6242,Georgia Tech-EPFL,0.4983,UCam-NTU,0.4339,CMU-UCL,0.8380,UIUC-CMU,0.8511
MIT-UCam,0.4063,UIUC-MIT,0.3960,UCL-CMU,0.4649,UWaterloo-UCam,0.6230,Georgia Tech-UCam,0.4978,CMU-Georgia Tech,0.4332,HU-Georgia Tech,0.8379,UIUC-EPFL,0.8509
UCam-UIUC,0.4038,Oxon-UWaterloo,0.3941,Georgia Tech-UCam,0.4641,UWaterloo-UCL,0.6229,Georgia Tech-YU,0.4974,EPFL-NTU,0.4331,Georgia Tech-HU,0.8369,UCam-YU,0.8507
UIUC-MIT,0.4020,UIUC-CMU,0.3921,UCL-Oxon,0.4639,UCL-YU,0.6225,UCL-MIT,0.4973,UWaterloo-Oxon,0.4316,HKU-YU,0.8367,Georgia Tech-UCam,0.8506
NTU-YU,0.4018,Georgia Tech-MIT,0.3920,Georgia Tech-EPFL,0.4631,U of T-CMU,0.6224,UWaterloo-HKU,0.4969,Georgia Tech-UIUC,0.4301,UIUC-YU,0.8346,U of T-UWaterloo,0.8504
UCam-CMU,0.3995,CMU-HU,0.3914,MIT-Oxon,0.4628,UCL-EPFL,0.6221,MIT-Georgia Tech,0.4962,UWaterloo-UIUC,0.4297,NTU-MIT,0.8338,UCam-CMU,0.8502
MIT-UWaterloo,0.3988,EPFL-YU,0.3901,HKU-UWaterloo,0.4624,UCL-CMU,0.6212,UIUC-Georgia Tech,0.4957,Georgia Tech-HKU,0.4269,UIUC-MIT,0.8329,Oxon-Georgia Tech,0.8498
UWaterloo-NTU,0.3976,UCL-CMU,0.3893,EPFL-CMU,0.4592,UCam-Georgia Tech,0.6206,U of T-UWaterloo,0.4949,CMU-HU,0.4251,UIUC-UCL,0.8328,UCL-EPFL,0.8496
YU-Oxon,0.3971,UCam-CMU,0.3884,MIT-UCam,0.4579,U of T-EPFL,0.6199,Georgia Tech-Oxon,0.4948,U of T-UWaterloo,0.4235,CMU-HU,0.8319,EPFL-UIUC,0.8491
UIUC-CMU,0.3963,EPFL-MIT,0.3882,Georgia Tech-MIT,0.4570,UWaterloo-YU,0.6199,UIUC-NTU,0.4921,EPFL-Georgia Tech,0.4197,EPFL-CMU,0.8314,U of T-Georgia Tech,0.8485
HU-Georgia Tech,0.3962,U of T-UWaterloo,0.3880,UCam-UIUC,0.4570,UIUC-UCL,0.6172,Georgia Tech-MIT,0.4906,UWaterloo-EPFL,0.4175,YU-HKU,0.8309,NTU-U of T,0.8475
YU-NTU,0.3920,CMU-UCL,0.3871,UCam-Georgia Tech,0.4567,U of T-Georgia Tech,0.6170,UWaterloo-Oxon,0.4904,Georgia Tech-NTU,0.4175,Oxon-Georgia Tech,0.8308,Georgia Tech-EPFL,0.8474
