Pairs,ALBERT,Pairs,DistilBERT,Pairs,DistilRoberta,Pairs,MPNeTv1,Pairs,MPNeTv2,Pairs,MiniLM,Pairs,Davinci,Pairs,ada
UCL-CMU,0.4377,ICL-UIUC,0.3547,UIUC-MIT,0.3876,Oxon-JHU,0.5627,UEdin-JHU,0.4574,UIUC-NTU,0.4004,ICL-CMU,0.824,NTU-UIUC,0.8515
ICL-Oxon,0.4376,MON-JHU,0.3536,ICL-MON,0.387,NTU-UCL,0.5625,CMU-MIT,0.4574,CMU-UCam,0.3985,ICL-CU,0.8239,Oxon-UIUC,0.8506
UIUC-JHU,0.4375,MON-UIUC,0.3499,Oxon-UIUC,0.3843,CMU-MON,0.5622,CMU-Oxon,0.4572,HKU-UCam,0.3984,ICL-UCam,0.8234,UIUC-NTU,0.8505
UEdin-MON,0.4372,UIUC-JHU,0.3425,MON-UEdin,0.3841,CU-UCam,0.5613,ICL-NTU,0.4553,MIT-NTU,0.3968,Oxon-CU,0.8229,MON-UIUC,0.8496
UIUC-UEdin,0.4369,JHU-UCL,0.3386,CMU-MON,0.3837,Oxon-ICL,0.5608,JHU-CU,0.4548,ICL-UCam,0.3913,UIUC-ICL,0.8225,JHU-MIT,0.8492
CMU-UCam,0.4363,UIUC-MIT,0.3382,UCL-NTU,0.3822,ICL-UCam,0.557,UIUC-UCam,0.4546,ICL-Oxon,0.3896,ICL-UEdin,0.8184,MON-UCam,0.8491
Oxon-UIUC,0.4359,UIUC-CMU,0.3382,MON-ICL,0.3742,MON-NTU,0.557,UEdin-CU,0.4543,UIUC-CU,0.389,JHU-NTU,0.8169,JHU-UCL,0.8475
NTU-ICL,0.4357,NTU-Oxon,0.3352,UIUC-ICL,0.3711,MIT-NTU,0.5569,MIT-JHU,0.4496,ICL-UEdin,0.3889,ICL-Oxon,0.8166,ICL-UIUC,0.8473
UIUC-UCL,0.4346,UIUC-MON,0.3337,ICL-CU,0.3694,MON-UIUC,0.5563,JHU-MIT,0.4493,UEdin-CMU,0.3877,UEdin-UCam,0.8163,UIUC-JHU,0.8472
CMU-ICL,0.4337,CU-NTU,0.3317,MON-NTU,0.3693,UCL-NTU,0.5554,NTU-MIT,0.4475,MON-Oxon,0.3862,UCam-CU,0.8141,CMU-ICL,0.8469
UCL-NTU,0.4313,JHU-MIT,0.3299,UEdin-NTU,0.3632,MON-MIT,0.5553,NTU-Oxon,0.4466,MON-CU,0.3857,ICL-JHU,0.8138,JHU-HKU,0.8447
UEdin-ICL,0.4299,MON-CMU,0.3286,CU-NTU,0.3623,NTU-MIT,0.5515,ICL-CU,0.4453,UIUC-UEdin,0.3855,MON-JHU,0.812,MIT-ICL,0.8444
Oxon-HKU,0.4239,UEdin-UIUC,0.3274,UIUC-UEdin,0.3616,ICL-NTU,0.5481,CU-CMU,0.4381,UIUC-MON,0.3847,Oxon-CMU,0.8082,ICL-MIT,0.8433
HKU-UCam,0.421,Oxon-UCam,0.3272,UIUC-MON,0.3591,Oxon-MIT,0.548,CMU-ICL,0.4366,ICL-MON,0.3793,NTU-UCam,0.8077,ICL-MON,0.8426
UEdin-Oxon,0.4209,UIUC-UCam,0.326,MIT-NTU,0.3551,MON-CU,0.5479,UEdin-ICL,0.4272,ICL-MIT,0.3783,HKU-UCam,0.8046,Oxon-ICL,0.8422
JHU-UEdin,0.4207,MIT-UIUC,0.3229,MIT-JHU,0.3505,NTU-UIUC,0.5466,CMU-MON,0.4239,UIUC-JHU,0.3771,JHU-ICL,0.8024,CU-NTU,0.8421
MIT-JHU,0.4197,JHU-ICL,0.32,UCam-UCL,0.3496,Oxon-UIUC,0.5464,UCL-CMU,0.42,CMU-ICL,0.3752,UIUC-UCam,0.802,Oxon-UCam,0.8421
